S.No.,District,E-DM,,,District Coordinator,,,MTO,,,Assistant Division Coordinator,,
,, Name,Contact No.,E-mail,Name,Contact No.,E-mail,Name,Contact No.,E-mail,Name,Contact No.,E-mail
1,Balod ,EDMbalod,123456789,edmbalod@gmail.com,DCbalod,123456789,dcbalod@gmail.com,MTObalod,123456789,mtobalod@gmail.com,,,
2,Baloda Bazar-Bhatapara,EDMbalodabazarbhatapara,123456789,edmbalodabazarbhatapara@gmail.com,DCbalodabazarbhatapara,123456789,dcbalodabazarbhatapara@gmail.com,MTObalodabazarbhatapara,123456789,mtobalodabazarbhatapara@gmail.com,,,
3,Balrampur,EDMbalrampur,123456789,edmbalrampur@gmail.com,DCbalrampur,123456789,dcbalrampur@gmail.com,MTObalrampur,123456789,mtobalrampur@gmail.com,,,
4,Bastar,EDMbastar,123456789,edmbastar@gmail.com,DCbastar,123456789,dcbastar@gmail.com,MTObastar,123456789,mtobastar@gmail.com,ADCbastar,123456789,adcbastar@gmail.com
5,Bemetara,EDMbemetara,123456789,edmbemetara@gmail.com,DCbemetara,123456789,dcbemetara@gmail.com,MTObemetara,123456789,mtobemetara@gmail.com,,,
6,Bijapur,EDMbijapur,123456789,edmbijapur@gmail.com,DCbijapur,123456789,dcbijapur@gmail.com,MTObijapur,123456789,mtobijapur@gmail.com,,,
7,Bilaspur,EDMbilaspur,123456789,edmbilaspur@gmail.com,DCbilaspur,123456789,dcbilaspur@gmail.com,MTObilaspur,123456789,mtobilaspur@gmail.com,ADCbilaspur,123456789,adcbilaspur@gmail.com
8,Dantewada,EDMdantewada,123456789,edmdantewada@gmail.com,DCdantewada,123456789,dcdantewada@gmail.com,MTOdantewada,123456789,,,,
9,Dhamtari,EDMdhamtari,123456789,edmdhamtari@gmail.com,DCdhamtari,123456789,dcdhamtari@gmail.com,MTOdhamtari,123456789,mtodhamtari@gmail.com,,,
10,Durg,EDMdurg,123456789,edmdurg@gmail.com,DCdurg,123456789,dcdurg@gmail.com,MTOdurg,123456789,mtodurg@gmail.com,ADCdurg,123456789,adcdurg@gmail.com
11,Gariaband,EDMgariaband,123456789,edmgariaband@gmail.com,DCgariaband,123456789,dcgariaband@gmail.com,MTOgariaband,123456789,mtogariaband@gmail.com,,,
